kunnr,zbrand,match,text,note
4600,062,contains,OEM BRAND(2),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4600,063,contains,OEM BRAND(3),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4600,064,contains,OEM BRAND(4),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4600,065,contains,OEM BRAND(5),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4600,066,contains,OEM BRAND(6),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4600,067,contains,OEM BRAND(7),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4600,068,contains,OEM BRAND(8),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4600,069,contains,OEM BRAND(89고객),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4600,070,contains,"OEM BRAND(2680,80고객)",자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4600,071,contains,OEM BRAND(11),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4600,072,contains,OEM BRAND(12),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4600,073,contains,OEM BRAND(13),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4600,074,contains,OEM BRAND(2687고객),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4600,075,contains,OEM BRAND(85고객),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4600,076,contains,OEM BRAND(BLANK),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4600,077,contains,OEM BRAND(17),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4600,078,contains,OEM BRAND(18),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4600,079,contains,OEM BRAND(89고객(추가)),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4600,080,contains,OEM BRAND(20),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4800,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4800,003,contains,NEUTRAL BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
5000,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
5000,003,contains,NEUTRAL BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
5000,522,contains,DT BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
6500,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
6500,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
6500,223,contains,OEM(BOEING),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
6500,224,contains,OEM(NORTHROP),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
6500,233,contains,WAVE CUT BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
6500,004,contains,NO MARKING,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
6500,488,contains,MINICUT(PRATT&WHITNEY),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
6500,496,contains,GULFSTREAM,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
6500,499,contains,LOCKHEED MARTIN,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
6500,501,contains,UNBRANDED,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
6500,058,contains,NO BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
7100,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
7100,010,contains,ANDRAF BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
7100,107,contains,SPEED CUT BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
7100,123,contains,NEW CENTURY BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
7100,125,contains,FVM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
7100,126,contains,INDACO,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
7100,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
7100,232,contains,YG(EMBRAER),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
7100,003,contains,NEUTRAL BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
7100,004,contains,NO MARKING,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
7100,501,contains,UNBRANDED,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
7100,505,contains,YG BRAND(EXCO),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
7100,058,contains,NO BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
7100,094,contains,QUALICUT BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
8000,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
8000,004,contains,NO MARKING,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
